timestamp,severity,source,category,description,src_ip,dst_ip,dst_port,username,hostname,url,http_method,http_status,bytes_in,bytes_out,action,event_id,label
2026-01-01T00:28:22,low,web,waf_event,Endpoint activity observed,155.45.180.237,10.0.0.10,443,alice,mail01,/services,GET,201,4999.4,5017.05,served,n-1-0,0
2026-01-01T00:30:16,low,suricata,process,Normal database connection,54.54.33.9,10.0.0.10,80,david,db01,,,0,3020.55,6984.89,success,n-1-1,0
2026-01-01T00:30:22,low,web,waf_event,Application security event,84.230.66.106,10.0.0.10,443,charlie,db01,/about,GET,201,3130.55,13077.46,served,n-1-4,0
2026-01-01T00:30:26,low,suricata,process,Scheduled maintenance,72.161.215.187,10.0.0.10,22,bob,app01,,,0,896.08,2097.3,success,n-1-2,0
2026-01-01T00:33:13,low,web,waf_event,Endpoint activity observed,57.19.206.56,10.0.0.10,443,alice,web02,/about,GET,200,4434.97,16343.0,allowed,n-1-3,0
2026-01-01T00:36:47,medium,wazuh,process,Normal process activity,91.239.119.158,10.0.0.10,3306,alice,web02,,,0,2112.88,6956.41,allowed,n-1-5,0
2026-01-01T01:03:58,medium,web,web_error,Normal application request,192.17.62.127,10.0.0.10,443,david,db01,/sitemap.xml,GET,200,3086.93,22753.25,served,n-2-0,0
2026-01-01T01:04:46,low,cloudflare,waf_event,Endpoint activity observed,92.168.112.21,10.0.0.10,443,fatima,db01,/about,POST,302,2567.64,17908.25,logged,n-2-3,0
2026-01-01T01:04:50,low,cloudflare,web_access,Normal application request,60.167.14.167,10.0.0.10,443,admin,db01,/assets/app.js,GET,200,2087.01,11802.89,served,n-2-1,0
2026-01-01T01:05:36,low,web,waf_event,Application returned an error,43.188.6.81,10.0.0.10,443,emma,web02,/login,GET,200,617.49,9727.52,served,n-2-2,0
2026-01-01T01:08:14,low,wazuh,system,Successful user authentication,201.2.26.105,10.0.0.10,53,analyst,web02,,,0,2702.47,4690.66,success,n-2-4,0
2026-01-01T01:12:18,high,web,waf_event,Normal application request,112.199.102.33,10.0.0.10,443,admin,web01,/images/house.jpg,GET,200,3409.71,23645.01,logged,n-2-5,0
2026-01-01T01:29:10,medium,wazuh,network,Normal process activity,83.208.192.48,10.0.0.10,53,alice,app01,,,0,1870.0,3567.24,allowed,n-3-0,0
2026-01-01T01:55:08,low,web,waf_event,Application security event,174.153.124.171,10.0.0.10,443,admin,db01,/properties/456,GET,200,4641.28,6409.41,served,n-4-0,0
2026-01-01T01:55:32,low,cloudflare,web_access,Application security event,109.77.24.2,10.0.0.10,443,service_web,app01,/properties/456,GET,429,4793.58,6406.3,served,n-4-1,0
2026-01-01T01:58:12,low,cloudflare,web_access,Network event observed,67.121.58.41,10.0.0.10,443,emma,web02,/en/properties,GET,200,561.89,16545.05,allowed,n-4-2,0
2026-01-01T02:00:05,high,web,web_access,Endpoint activity observed,83.230.129.205,10.0.0.10,443,alice,web02,/api/properties,GET,301,2626.78,12027.17,served,n-4-3,0
2026-01-01T02:10:56,high,cloudflare,waf_event,WAF challenge for automated client,209.128.141.163,10.0.0.10,443,,web01,/search,GET,429,1000,500,challenged,b-5-0,0
2026-01-01T02:11:14,medium,wazuh,authentication,Failed login attempt,41.119.155.83,10.0.0.20,22,analyst,app01,,,0,0.0,0.0,failed,b-5-1,0
2026-01-01T02:11:30,medium,suricata,network,Approved vulnerability scan,106.19.43.148,10.0.0.10,443,analyst,scanner01,,,0,0.0,0.0,allowed,b-5-2,0
2026-01-01T02:21:54,low,cloudflare,web_error,Application returned an error,196.242.106.25,10.0.0.10,443,david,mail01,/logout,GET,200,4508.7,4985.99,served,n-6-0,0
2026-01-01T02:22:38,low,web,waf_event,Request rejected by policy,68.154.42.196,10.0.0.10,443,service_web,proxy01,/login,GET,200,3019.18,3257.63,allowed,n-6-1,0
2026-01-01T02:23:03,low,web,web_access,Unusual request pattern,163.187.206.120,10.0.0.10,443,fatima,web02,/contact,POST,404,474.07,4234.15,allowed,n-6-3,0
2026-01-01T02:24:22,low,web,web_error,Authentication event,78.110.151.83,10.0.0.10,443,service_web,db01,/contact,GET,200,3301.25,2208.03,served,n-6-2,0
2026-01-01T02:27:38,low,web,waf_event,Unusual request pattern,81.216.121.143,10.0.0.10,443,charlie,app01,/sitemap.xml,POST,200,4339.99,7438.86,served,n-6-4,1
2026-01-01T02:56:15,low,wazuh,authentication,Normal login event,177.42.205.249,10.0.0.10,443,analyst,app01,,,0,1866.75,8429.36,allowed,n-7-0,0
2026-01-01T03:00:29,high,cloudflare,waf_event,WAF challenge for automated client,69.147.24.42,10.0.0.10,443,,web01,/en/properties,GET,429,1000,500,challenged,b-8-0,0
2026-01-01T03:00:37,medium,suricata,network,Approved vulnerability scan,57.140.222.90,10.0.0.10,8080,analyst,scanner01,,,0,0.0,0.0,allowed,b-8-1,0
2026-01-01T03:00:53,medium,wazuh,authentication,Invalid password,93.93.3.130,10.0.0.20,22,emma,app01,,,0,0.0,0.0,failed,b-8-3,0
2026-01-01T03:01:03,medium,wazuh,authentication,Invalid password,62.206.65.3,10.0.0.20,22,service_web,app01,,,0,0.0,0.0,failed,b-8-2,0
2026-01-01T03:01:49,medium,suricata,network,Approved vulnerability scan,84.81.102.57,10.0.0.10,443,analyst,scanner01,,,0,0.0,0.0,allowed,b-8-4,0
2026-01-01T03:14:01,low,web,web_error,Endpoint activity observed,76.163.95.85,10.0.0.10,443,emma,web01,/api/search,GET,200,4752.71,11536.9,logged,n-9-0,0
2026-01-01T03:15:02,medium,web,web_error,Unusual request pattern,220.94.161.252,10.0.0.10,443,admin,web01,/properties/123,GET,201,2646.64,12919.52,logged,n-9-1,0
